postcode sector,EUpassport2011,%
CB25 0,129.0,1.6
CB25 9,266.0,2.6
CB3  0,766.0,8.8
CB3  9,825.0,11.0
CB4  1,1930.0,12.1
CB4  2,1568.0,10.9
CB4  3,1397.0,12.0
CB5  8,1167.0,10.6
CB6  1,416.0,3.3
CB6  2,242.0,2.0
CB6  3,403.0,2.9
CB7  4,530.0,6.1
CB7  5,746.0,4.1
CB8  0,572.0,5.9
CB8  7,423.0,6.5
CB8  8,322.0,3.5
CB8  9,252.0,3.2
CB9  0,317.0,3.8
CB9  7,202.0,2.1
CB9  8,391.0,6.4
CB9  9,248.0,2.9
CH1  1,41.0,4.6
CH1  2,32.0,3.4
