Area code,All categories: Sex,Males,Females
S12000038,"174,908","84,109","90,799"
S12000026,"113,870","55,160","58,710"
S12000027,"23,167","11,761","11,406"
S12000028,"112,799","53,732","59,067"
S12000029,"313,830","150,858","162,972"
S12000030,"90,247","43,240","47,007"
S12000039,"90,720","43,183","47,537"
S12000040,"175,118","85,556","89,562"
,,,
N92000002 ,"1,810,863","887,323","923,540"
,,,
95T ,"53,428","26,310","27,118"
95X ,"78,078","38,086","39,992"
95O ,"59,340","29,509","29,831"
95G ,"64,044","31,398","32,646"
95D ,"31,224","15,442","15,782"
95Q ,"48,339","23,976","24,363"
95Z ,"280,962","135,077","145,885"
95V ,"39,114","18,851","20,263"
95Y ,"67,242","32,287","34,955"
95C ,"59,067","28,742","30,325"
95I ,"37,013","18,465","18,548"
95N ,"93,023","45,776","47,247"
95A ,"107,877","52,648","55,229"
